iauName,WISE Name,GLong,GLat,Radius,VLSR(km/s),Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,Dist. Author,WISE 12um<br>(Jy),flux,fluxErr,flux_noPS,flux_err_noPS,distance_kpc,distance_err_kpc,radius_wcs,physical_radius_pc,ne,N_Ly,Spectral Type
G039.185-01.422,G039.183-01.422,39.183,-1.422,60.0,-54.9,18.017,0.265973,OG/Kin,,2.6082,0.0597548392113028,0.0004717945533108,0.0597548392113028,0.0004717945533108,18.23,1.19,0.557,2.9537080939568034,14.29,48.28,O8
G039.196+00.224,G039.196+00.224,39.196,0.225,60.0,-21.6,14.3263,0.322102,OG/Kin,,2.66929,0.0291718625494963,8.168700275335057e-05,0.0291718625494963,8.168700275335057e-05,13.96,0.41,0.363,1.4740687949967275,21.7,47.74,O9.5
G039.224-00.048,G039.225-00.053,39.225,-0.053,42.5,20.2,11.504,0.267808,HIEA/Kin,Anderson et al. (2012),1.11893,0.0561886661404274,0.0014867166228121,0.0561886661404274,0.0014867166228121,11.3,0.35,1.255,4.125227256199548,5.2,47.84,O9.5
G039.248-00.064,G039.248-00.064,39.249,-0.063,60.0,23.0,11.354,0.247457,H2CO/Kin,Watson et al. (2003),21.003,1.092420296502293,0.0008589233820494,1.092420296502293,0.0008589233820494,11.22,0.34,0.748,2.441294451312632,50.02,49.12,O5.5
G039.335-00.330,G039.294-00.311,39.295,-0.311,357.6,53.7,,,HIEA/Kin,Anderson et al. (2017),38.4412,1.2367388189512978,0.0131620184799983,1.2353480573287658,0.013162242692758,8.73,0.5,6.54,16.6080139626209,2.33,48.96,O6
G039.537+00.459,G039.515+00.511,39.516,0.512,514.6,-30.8,15.1586,0.279177,OG/Kin,,19.4531,2.7594290879619408,0.0189734490139959,2.7231395612628124,0.0189771012606066,13.96,0.48,12.748,51.76702203476111,1.01,49.71,O4
G039.544-00.366,G039.544-00.366,39.545,-0.366,56.0,55.2,9.3789,0.342306,HIEA/Kin,Anderson et al. (2012),5.10324,0.0538055738757162,0.0002589058175218,0.0538055738757162,0.0002589058175218,8.64,0.49,0.619,1.555715220711221,16.78,47.59,O9.5
G039.608-00.023,G039.607-00.021,39.607,-0.021,76.9,8.3,,,,,2.43909,0.0140823837489813,0.0002638475295623,0.0140823837489813,0.0002638475295623,11.4,0.45,1.088,3.607941240637045,3.21,47.24,B0
G039.627-00.092,G039.630-00.107,39.63,-0.106,268.9,27.9,,,,,17.9845,0.7338755162337567,0.0068664888708175,0.7297586708088457,0.0068690672801431,1.9,0.07,4.66,2.575521780234165,6.4,47.41,O9.5
G039.728-00.393,G039.728-00.396,39.728,-0.396,67.9,58.3,9.15011,0.410811,HIEA/Kin,Anderson et al. (2012),8.09959,0.3460111014810603,0.0002996720315179,0.3460111014810603,0.0002996720315179,8.57,0.46,1.06,2.6424841829685115,19.1,48.39,O7.5
G039.848-00.168,G039.856-00.184,39.856,-0.184,155.8,60.0,8.90502,0.49033,HIEA/Kin,Anderson et al. (2012),12.243,0.6222913426395213,0.0010981774634054,0.6194573600498723,0.0011252744401181,8.72,0.48,4.463,11.32059050250891,2.94,48.66,O6.5
